type,name,lat,lon
USAF,Warren AFB,41.1538,-104.8645
USAF,Peterson AFB,38.8058,-104.7008
USAF,Columbus AFB,33.6439,-88.4439
USAF,Kessler AFB,30.4114,-88.9236
USAF,Shaw AFB,33.98,-84.47
USAF,Robins AFB,32.6401,-83.5918
USAF,Maxwell-Gunter AFB,32.406,-86.248
USAF,Eglin AFB,30.4833,-86.5311
USAF,Tyndall AFB,30.0786,-85.5764
USAF,MacDill AFB,27.8494,-82.5211
USAF,Moody AFB,30.98,-83.2142
USAF,Charlston AFB,32.8986,-80.0406
USAF,McChord AFB,47.1377,-122.4765
USAF,Fairchild AFB,47.616,-117.6524
USAF,Malmstrom AFB,47.5086,-111.2056
USAF,Mountain Home AFB,43.0494,-115.8664
